"Age","male.shape","male.rate","female.shape","female.rate"
53,0.0930518471238369,0.00522281939103332,0.103520848642314,0.002834028333088
54,0.0933848467128793,0.00567581641977499,0.103810165246362,0.00311357133358727
55,0.0936977746813226,0.0061755251063544,0.104117298216982,0.00342059510244751
56,0.0940668360801757,0.00671244269721373,0.104375671968884,0.00376577064170833
57,0.0944427111202921,0.00729962348942424,0.104656654840298,0.00414496889789509
58,0.0948535650384157,0.00793624813327429,0.104906882496592,0.00456887805018583
59,0.09527246592724,0.00863310765169895,0.10517281278946,0.00503626093019166
60,0.09567498711319,0.0094022526432645,0.105396278036812,0.00556078226830736
61,0.0960452120597258,0.010255645319667,0.105599828610734,0.0061458525864747
62,0.0963160449991212,0.0112204735267092,0.105796608384447,0.00679631328676332
63,0.0966151601280447,0.012274445888898,0.105990562724672,0.00751900659297523
64,0.0970201464383019,0.0134051874211304,0.106314729342503,0.00829519494296458
65,0.0971859439107969,0.0147231089278676,0.106419443449903,0.00920479335968621
66,0.0973846665330705,0.0161663437826993,0.106618362769762,0.0101943965603918
67,0.0975946027080746,0.0177548819457535,0.10681454522249,0.0112955842353728
68,0.0978676413791408,0.0194845592925333,0.107064656701995,0.0125062485005854
69,0.0979744184102777,0.0214601023688816,0.107173553824348,0.0138939877899884
70,0.0980742308486079,0.0236456163587204,0.107265122492567,0.0154442831005951
71,0.0981109561766772,0.0260890861599379,0.107336983539286,0.0171782752390768
72,0.097958695523241,0.0288793138336525,0.107341089662248,0.0191345958499036
73,0.097864098630449,0.0319364153142462,0.10732446471593,0.0213236635925714
74,0.0975041523880819,0.0354570541339182,0.107119445775741,0.0238403093576565
75,0.0971566540174111,0.0393459632764742,0.106864812698106,0.0266694470575296
76,0.0968579124621631,0.0436169369792804,0.106674071204122,0.0297971116131286
77,0.0961300894666775,0.0486105664091349,0.106133050267016,0.0334577965005487
78,0.0953762432052388,0.054155539412096,0.105618194182548,0.0375294006014774
79,0.0944190056341827,0.0604155350319312,0.104937411852794,0.0421635791113815
80,0.093001380178145,0.0676945543462861,0.10385891267805,0.0475661807861514
81,0.0914564429825428,0.0757855574905417,0.102584611219165,0.0537160682113971
82,0.089409473350508,0.0851923755209289,0.100756624292446,0.0609523897418454
83,0.0874562600914791,0.0954392784169323,0.0989313400583746,0.0689813037873679
84,0.0844324269599383,0.107707446419029,0.096380603940679,0.078424714178008
85,0.0808472316038047,0.121717415615269,0.0935096773211761,0.0892446347365959
86,0.076510132133758,0.137827893330882,0.0902511016793365,0.1015152172904
87,0.0708759893157065,0.156824047090281,0.086304691214231,0.115689455529767
