"Age","male.shape","male.rate","female.shape","female.rate","a","b","t","r_death"
71,0.0981109211115048,0.0260890860767838,0.107337034475385,0.0171782752894816,0.0981109211115048,0.0260890860767838,0,0.024850121682504
72,0.0979586796603575,0.0288793341441747,0.10734108885346,0.0191345958483055,0.0979586796603575,0.0288793341441747,0,0.0275099213315009
73,0.0978640925078038,0.0319364153007129,0.107324466307276,0.0213236635970638,0.0978640925078038,0.0319364153007129,0,0.0304234558108029
74,0.0975041523885195,0.0354570541336844,0.107119442700068,0.0238403093486262,0.0975041523885195,0.0354570541336844,0,0.0337832879665671
75,0.097156654017431,0.0393459632764578,0.106864787593901,0.0266694469783494,0.097156654017431,0.0393459632764578,0,0.0374950279257178
76,0.0968579124621352,0.0436169369793007,0.106674042730813,0.0297971299035329,0.0968579124621352,0.0436169369793007,0,0.0415711927297116
77,0.0961300894667544,0.0486105664091077,0.106133052643837,0.0334577965076063,0.0961300894667544,0.0486105664091077,0,0.0463472004578247
78,0.0953762432052021,0.0541555394121784,0.105618194182689,0.0375294006014064,0.0953762432052021,0.0541555394121784,0,0.0516531479580069
79,0.0944190056341862,0.0604155350319226,0.104937411852824,0.0421635791113668,0.0944190056341862,0.0604155350319226,0,0.0576510350258944
80,0.0930013775696461,0.0676945543282802,0.103858912678009,0.0475661807861685,0.0930013775696461,0.0676945543282802,0,0.064642068196806
81,0.0914564429827043,0.0757855574904191,0.102584611219403,0.0537160682113579,0.0914564429827043,0.0757855574904191,0,0.072423295304915
82,0.089409473350527,0.0851923755209298,0.100756624280297,0.0609523897417923,0.089409473350527,0.0851923755209298,0,0.081494885800066
83,0.0874562600914467,0.0954392784169737,0.0989313991316124,0.0689812961289488,0.0874562600914467,0.0954392784169737,0,0.09138494582377
84,0.0844323363329878,0.107707444839225,0.0963806039409291,0.0784247141779491,0.0844323363329878,0.107707444839225,0,0.103285764143219
85,0.0808472316038342,0.121717415615237,0.0935096773212277,0.0892446347365388,0.0808472316038342,0.121717415615237,0,0.116927116727766
86,0.0765101321338729,0.137827893330761,0.0902511016794112,0.101515217290337,0.0765101321338729,0.137827893330761,0,0.132687214451591
87,0.0708759893156973,0.156824047090285,0.0863047631783186,0.115689456093797,0.0708759893156973,0.156824047090285,0,0.151395521935507
88,0.0642728705763311,0.17855750587177,0.0811680462622835,0.132467047577053,0.0642728705763311,0.17855750587177,0,0.172940290784452
89,0.0575429246518556,0.202173601400336,0.0758534668543606,0.151012799574132,0.0575429246518556,0.202173601400336,0,0.196466756962036
90,0.0487596588488151,0.230236177617486,0.0698847911470557,0.17197586238564,0.0487596588488151,0.230236177617486,0,0.224713188787855
91,0.0417960336943363,0.257705815672305,0.0641353955269298,0.194490182519287,0.0417960336943363,0.257705815672305,0,0.252394529109621
92,0.02873983474094,0.295800191867157,0.055089347454527,0.223062187917192,0.02873983474094,0.295800191867157,0,0.291589997395462
93,0.0193851634478257,0.330291083087382,0.0477222221246116,0.25152856188201,0.0193851634478257,0.330291083087382,0,0.327110296288743
94,0.00825227725375352,0.369559187045576,0.0382005760253337,0.285168296115737,0.00825227725375352,0.369559187045576,0,0.3680385204714
95,-0.00096469235322649,0.407919008390255,0.0278154034985008,0.322415603355172,-0.00096469235322649,0.407919008390255,0,0.408115829849979
96,-0.0155784159324962,0.457726991317242,0.0154993198625378,0.365081736380233,-0.0155784159324962,0.457726991317242,0,0.461310908442917
97,-0.032080651833555,0.513175485217997,0.00154996136871689,0.412950653285988,-0.032080651833555,0.513175485217997,0,0.521495721757612
98,-0.0505378565506811,0.574536374916373,-0.0141626646592636,0.466463794949936,-0.0505378565506811,0.574536374916373,0,0.589301983010608
99,-0.0708237585512896,0.641734561657844,-0.0317615545730051,0.526074738045368,-0.0708237585512896,0.641734561657844,0,0.665005714313261
100,-0.0940246002274366,0.716988935350431,-0.051523152520029,0.592543046802018,-0.0940246002274366,0.716988935350431,0,0.751777979991951
101,-0.11880713919871,0.79777993030012,-0.0733797533134231,0.666081787678844,-0.11880713919871,0.79777993030012,0,0.847104796741211
102,-0.146488635258881,0.886976314434198,-0.0974493926942179,0.7473739314431,-0.146488635258881,0.886976314434198,0,0.955234211845678
103,-0.175740279243928,0.981924700928854,-0.123064227846319,0.835927491180189,-0.175740279243928,0.981924700928854,0,1.07349106596119
104,-0.202537607998484,1.07524974257023,-0.151670594097828,0.936018702969461,-0.202537607998484,1.07524974257023,0,1.19187822334233
105,-0.232450305429993,1.18206432869793,-0.178933228120765,1.04195092164672,-0.232450305429993,1.18206432869793,0,1.33074357102316
106,-0.266513603237606,1.30928947897207,-0.198350637036999,1.15055916134813,-0.266513603237606,1.30928947897207,0,1.50035121183573
107,-0.281320403936889,1.426893706145,-0.205565303669902,1.28153416578151,-0.281320403936889,1.426893706145,0,1.6478236656317
108,-0.110632958909851,1.36818495638913,-0.192898406526909,1.5052184470544,-0.110632958909851,1.36818495638913,0,1.44673808397895
109,-5.17218811300574e-05,2.00007041109612,-3.24905014009736e-07,1.99999168904728,-5.17218811300574e-05,2.00007041109612,0,2.00012213568919
